id,type,name,status,description,epic
1,TASK,Задача10,NEW,Задача10.Описание,22.08.22 21:35 ,0,
2,TASK,Задача1,NEW,Задача1.Описание,01.07.22 00:00 ,20160,
3,TASK,Задача2,NEW,Задача2.Описание,01.06.22 00:00 ,10080,
8,TASK,Задача8,NEW,Задача8.Описание,22.08.22 21:35 ,0,
4,EPIC,Эпик1,IN_PROGRESS,Эпик3.Описание,01.08.22 00:00 ,0,
7,EPIC,Эпик2,NEW,Эпик2.Описание,19.08.22 12:00 ,4320,
5,SUBTASK,Подзадача1,DONE,Подзадача1.Описание,01.08.22 00:00 ,4320,4
6,SUBTASK,Подзадача2,NEW,Подзадача2.Описание,19.08.22 00:00 ,4320,4

4
